1000,8.98845e-32
2000,4.81648e-26
3000,3.38235e-22
4000,2.2118e-19
5000,3.1845e-17
6000,1.62652e-15
7000,3.93743e-14
8000,5.46385e-13
9000,4.95256e-12
10000,3.21767e-11
11000,1.604e-10
12000,6.45597e-10
13000,2.18134e-09
14000,6.37688e-09
15000,1.65177e-08
16000,3.86351e-08
17000,8.28598e-08
18000,1.64985e-07
19000,3.08126e-07
20000,5.4435e-07
21000,9.1617e-07
22000,1.47779e-06
23000,2.29606e-06
24000,3.4511e-06
25000,5.03664e-06
26000,7.16e-06
27000,9.94195e-06
28000,1.35162e-05
29000,1.80291e-05
30000,2.36387e-05
31000,3.05141e-05
32000,3.88352e-05
33000,4.87914e-05
34000,6.05811e-05
35000,7.44114e-05
36000,9.04975e-05
37000,0.000109061
38000,0.000130331
39000,0.000154541
40000,0.000181932
41000,0.00021275
42000,0.000247242
43000,0.000285664
44000,0.000328271
45000,0.000375323
46000,0.000427081
47000,0.000483806
48000,0.000545764
49000,0.000613218
50000,0.000686432
