1000,2.58913e-36
2000,8.21227e-30
3000,1.59756e-25
4000,2.34298e-22
5000,6.72401e-20
6000,6.23914e-18
7000,2.54377e-16
8000,5.58097e-15
9000,7.58078e-14
10000,7.05313e-13
11000,4.84313e-12
12000,2.59702e-11
13000,1.13579e-10
14000,4.19141e-10
15000,1.34085e-09
16000,3.79992e-09
17000,9.70899e-09
18000,2.26902e-08
19000,4.90838e-08
20000,9.92616e-08
21000,1.89225e-07
22000,3.42442e-07
23000,5.91832e-07
24000,9.81821e-07
25000,1.57035e-06
26000,2.43075e-06
27000,3.65335e-06
28000,5.34689e-06
29000,7.63942e-06
30000,1.0679e-05
31000,1.46339e-05
32000,1.96926e-05
33000,2.60629e-05
34000,3.39715e-05
35000,4.36631e-05
36000,5.53985e-05
37000,6.94535e-05
38000,8.61174e-05
39000,0.000105691
40000,0.000128485
41000,0.000154817
42000,0.000185014
43000,0.000219405
44000,0.000258322
45000,0.0003021
46000,0.000351073
47000,0.000405572
48000,0.000465928
49000,0.000532467
50000,0.00060551
